Protein,Order,SampleName,LabRep,LabBlock,MaltPlant,MaltRep,MaltTime,malttime,abundance,abundance.sc,abundance.scOut
HORVU3Hr1G036150.9,3,aBP11,2,1,2,1,133.5,133.5,1645.973361,1.645973361,1.645973361
HORVU3Hr1G038010.7,3,aBP11,2,1,2,1,133.5,133.5,70558.30673,70.55830673,70.55830673
HORVU3Hr1G038190.1,3,aBP11,2,1,2,1,133.5,133.5,32748.0763,32.7480763,32.7480763
HORVU3Hr1G039050.2,3,aBP11,2,1,2,1,133.5,133.5,63653.13638,63.65313638,63.65313638
HORVU3Hr1G040040.1,3,aBP11,2,1,2,1,133.5,133.5,6181.942522,6.181942522,6.181942522
HORVU3Hr1G048090.4,3,aBP11,2,1,2,1,133.5,133.5,15881.4687,15.8814687,15.8814687
HORVU3Hr1G049610.1,3,aBP11,2,1,2,1,133.5,133.5,24579.27588,24.57927588,24.57927588
HORVU3Hr1G050870.9,3,aBP11,2,1,2,1,133.5,133.5,20856.58427,20.85658427,20.85658427
HORVU3Hr1G054640.2,3,aBP11,2,1,2,1,133.5,133.5,5196.382346,5.196382346,5.196382346
HORVU3Hr1G057090.8,3,aBP11,2,1,2,1,133.5,133.5,962.0078012,0.962007801,0.962007801
HORVU3Hr1G057890.1,3,aBP11,2,1,2,1,133.5,133.5,6632.199918,6.632199918,6.632199918
HORVU3Hr1G058460.4,3,aBP11,2,1,2,1,133.5,133.5,875.9578414,0.875957841,0.875957841
HORVU3Hr1G059030.1,3,aBP11,2,1,2,1,133.5,133.5,903.8091199,0.90380912,0.90380912
HORVU3Hr1G059060.9,3,aBP11,2,1,2,1,133.5,133.5,3333.294756,3.333294756,3.333294756
HORVU3Hr1G060800.2,3,aBP11,2,1,2,1,133.5,133.5,87765.07978,87.76507978,87.76507978
HORVU3Hr1G062040.1,3,aBP11,2,1,2,1,133.5,133.5,34543.9812,34.5439812,34.5439812
HORVU3Hr1G063670.3,3,aBP11,2,1,2,1,133.5,133.5,70210.38395,70.21038395,70.21038395
HORVU3Hr1G064470.3,3,aBP11,2,1,2,1,133.5,133.5,13240.47699,13.24047699,13.24047699
HORVU3Hr1G066340.2,3,aBP11,2,1,2,1,133.5,133.5,12770.52167,12.77052167,12.77052167
HORVU3Hr1G066430.3,3,aBP11,2,1,2,1,133.5,133.5,17914.23124,17.91423124,17.91423124
HORVU3Hr1G067040.5,3,aBP11,2,1,2,1,133.5,133.5,7762.785647,7.762785647,7.762785647
HORVU3Hr1G067470.6,3,aBP11,2,1,2,1,133.5,133.5,1067.461857,1.067461857,1.067461857
HORVU3Hr1G070850.1,3,aBP11,2,1,2,1,133.5,133.5,73324.72627,73.32472627,73.32472627
HORVU3Hr1G071370.2,3,aBP11,2,1,2,1,133.5,133.5,44226.24703,44.22624703,44.22624703
HORVU3Hr1G071490.2,3,aBP11,2,1,2,1,133.5,133.5,174717.6121,174.7176121,174.7176121
HORVU3Hr1G073020.6,3,aBP11,2,1,2,1,133.5,133.5,4813.747427,4.813747427,4.813747427
HORVU3Hr1G073220.8,3,aBP11,2,1,2,1,133.5,133.5,185672.4303,185.6724303,185.6724303
